[i] Train : 117266
[i] Valid : 4952
[i] pred_bboxes_op : Tensor("YOLOv3/concat:0", shape=(?, ?, 85), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_3:0", shape=(?, ?, 85), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
[i] iter : 7800, loss : 72.5144, giou_loss : 48.3097, conf_loss : 7.1618, class_loss : 12.7856, l2_reg_loss : 4.2573, train_time : 14sec
[i] iter : 7850, loss : 69.9408, giou_loss : 45.7879, conf_loss : 7.2691, class_loss : 12.6274, l2_reg_loss : 4.2563, train_time : 15sec
[i] iter : 7900, loss : 62.2100, giou_loss : 40.7104, conf_loss : 6.2302, class_loss : 11.0141, l2_reg_loss : 4.2553, train_time : 14sec
[i] iter : 7950, loss : 67.0520, giou_loss : 43.9850, conf_loss : 6.8255, class_loss : 11.9873, l2_reg_loss : 4.2542, train_time : 13sec
[i] iter : 8000, loss : 72.1928, giou_loss : 47.6159, conf_loss : 7.3273, class_loss : 12.9965, l2_reg_loss : 4.2531, train_time : 13sec
[i] iter : 8050, loss : 67.2757, giou_loss : 44.1766, conf_loss : 6.9028, class_loss : 11.9440, l2_reg_loss : 4.2522, train_time : 12sec
[i] iter : 8100, loss : 70.8752, giou_loss : 47.4109, conf_loss : 7.0586, class_loss : 12.1543, l2_reg_loss : 4.2513, train_time : 12sec
[i] iter : 8150, loss : 72.2311, giou_loss : 48.0396, conf_loss : 7.2665, class_loss : 12.6748, l2_reg_loss : 4.2502, train_time : 13sec
[i] iter : 8200, loss : 70.5425, giou_loss : 46.7116, conf_loss : 7.1503, class_loss : 12.4316, l2_reg_loss : 4.2490, train_time : 13sec
[i] iter : 8250, loss : 62.1376, giou_loss : 40.2357, conf_loss : 6.4354, class_loss : 11.2186, l2_reg_loss : 4.2479, train_time : 14sec
